Date,Ball,X
105/01/15,X2,11
105/01/15,X3,42
105/01/15,X4,6
105/01/15,X5,16
105/01/15,X6,17
105/01/15,S,35
105/01/12,X1,18
105/01/12,X2,15
105/01/12,X3,5
105/01/12,X4,44
105/01/12,X5,40
105/01/12,X6,39
105/01/12,S,37
105/01/08,X1,13
105/01/08,X2,28
105/01/08,X3,44
105/01/08,X4,3
105/01/08,X5,48
105/01/08,X6,10
105/01/08,S,1
105/01/05,X1,7
105/01/05,X2,33
105/01/05,X3,15
105/01/05,X4,25
105/01/05,X5,3
105/01/05,X6,1
105/01/05,S,21
105/01/01,X1,16
105/01/01,X2,41
105/01/01,X3,29
105/01/01,X4,19
105/01/01,X5,24
105/01/01,X6,43
105/01/01,S,32
104/12/29,X1,8
104/12/29,X2,30
104/12/29,X3,32
104/12/29,X4,42
104/12/29,X5,13
104/12/29,X6,1
104/12/29,S,11
104/12/25,X1,12
104/12/25,X2,7
104/12/25,X3,3
104/12/25,X4,16
104/12/25,X5,30
104/12/25,X6,11
104/12/25,S,13
104/12/22,X1,29
104/12/22,X2,49
104/12/22,X3,37
104/12/22,X4,12
104/12/22,X5,13
104/12/22,X6,8
104/12/22,S,43
104/12/18,X1,25
104/12/18,X2,18
104/12/18,X3,15
104/12/18,X4,6
104/12/18,X5,5
104/12/18,X6,11
104/12/18,S,31
104/12/15,X1,22
104/12/15,X2,18
104/12/15,X3,31
104/12/15,X4,23
104/12/15,X5,11
104/12/15,X6,4
104/12/15,S,19
104/12/11,X1,42
104/12/11,X2,25
104/12/11,X3,1
104/12/11,X4,43
104/12/11,X5,4
104/12/11,X6,29
104/12/11,S,11
104/12/08,X1,15
104/12/08,X2,8
104/12/08,X3,40
104/12/08,X4,43
104/12/08,X5,36
104/12/08,X6,32
104/12/08,S,3
104/12/04,X1,16
104/12/04,X2,21
104/12/04,X3,34
104/12/04,X4,47
104/12/04,X5,37
104/12/04,X6,41
104/12/04,S,29
104/12/01,X1,41
104/12/01,X2,37
104/12/01,X3,13
104/12/01,X4,6
104/12/01,X5,19
104/12/01,X6,15
104/12/01,S,22
104/11/27,X1,4
104/11/27,X2,41
104/11/27,X3,5
104/11/27,X4,23
104/11/27,X5,40
104/11/27,X6,25
104/11/27,S,11
104/11/24,X1,48
104/11/24,X2,1
104/11/24,X3,9
104/11/24,X4,29
104/11/24,X5,28
104/11/24,X6,13
104/11/24,S,45
104/11/20,X1,40
104/11/20,X2,9
104/11/20,X3,4
104/11/20,X4,10
104/11/20,X5,39
104/11/20,X6,42
104/11/20,S,8
104/11/17,X1,2
104/11/17,X2,44
104/11/17,X3,7
104/11/17,X4,47
104/11/17,X5,31
104/11/17,X6,26
104/11/17,S,36
104/11/13,X1,33
104/11/13,X2,18
104/11/13,X3,16
104/11/13,X4,11
104/11/13,X5,31
104/11/13,X6,1
104/11/13,S,19
104/11/10,X1,7
104/11/10,X2,27
104/11/10,X3,45
104/11/10,X4,11
104/11/10,X5,10
104/11/10,X6,28
104/11/10,S,21
104/11/06,X1,30
104/11/06,X2,45
104/11/06,X3,27
104/11/06,X4,49
104/11/06,X5,8
104/11/06,X6,24
104/11/06,S,42
104/11/03,X1,28
104/11/03,X2,45
104/11/03,X3,8
104/11/03,X4,16
104/11/03,X5,48
104/11/03,X6,22
104/11/03,S,13
104/10/30,X1,15
104/10/30,X2,8
104/10/30,X3,20
104/10/30,X4,3
104/10/30,X5,6
104/10/30,X6,30
104/10/30,S,40
104/10/27,X1,7
104/10/27,X2,17
104/10/27,X3,34
104/10/27,X4,8
104/10/27,X5,10
104/10/27,X6,36
104/10/27,S,43
104/10/23,X1,1
104/10/23,X2,41
104/10/23,X3,16
104/10/23,X4,43
104/10/23,X5,47
104/10/23,X6,46
104/10/23,S,25
104/10/20,X1,32
104/10/20,X2,12
104/10/20,X3,37
104/10/20,X4,17
104/10/20,X5,39
104/10/20,X6,38
104/10/20,S,27
104/10/16,X1,31
104/10/16,X2,20
104/10/16,X3,29
104/10/16,X4,44
104/10/16,X5,25
104/10/16,X6,40
104/10/16,S,21
104/10/13,X1,24
104/10/13,X2,29
104/10/13,X3,32
104/10/13,X4,44
104/10/13,X5,49
104/10/13,X6,31
104/10/13,S,39
104/10/09,X1,35
104/10/09,X2,2
104/10/09,X3,8
104/10/09,X4,27
104/10/09,X5,22
104/10/09,X6,43
104/10/09,S,24
104/10/06,X1,8
104/10/06,X2,10
104/10/06,X3,28
104/10/06,X4,3
104/10/06,X5,38
104/10/06,X6,47
104/10/06,S,13
104/10/02,X1,44
104/10/02,X2,11
104/10/02,X3,45
104/10/02,X4,36
104/10/02,X5,41
104/10/02,X6,15
104/10/02,S,35
104/09/29,X1,1
104/09/29,X2,35
104/09/29,X3,3
104/09/29,X4,25
104/09/29,X5,44
104/09/29,X6,31
104/09/29,S,15
104/09/25,X1,13
104/09/25,X2,38
104/09/25,X3,25
104/09/25,X4,21
104/09/25,X5,9
104/09/25,X6,39
104/09/25,S,2
104/09/22,X1,47
104/09/22,X2,46
104/09/22,X3,6
104/09/22,X4,10
104/09/22,X5,39
104/09/22,X6,44
104/09/22,S,30
104/09/18,X1,16
104/09/18,X2,6
104/09/18,X3,17
104/09/18,X4,41
104/09/18,X5,37
104/09/18,X6,36
104/09/18,S,28
104/09/15,X1,44
104/09/15,X2,13
104/09/15,X3,30
104/09/15,X4,34
104/09/15,X5,31
104/09/15,X6,2
104/09/15,S,39
104/09/11,X1,41
104/09/11,X2,10
104/09/11,X3,5
104/09/11,X4,29
104/09/11,X5,18
104/09/11,X6,44
104/09/11,S,30
104/09/08,X1,8
104/09/08,X2,31
104/09/08,X3,43
104/09/08,X4,28
104/09/08,X5,36
104/09/08,X6,32
104/09/08,S,9
104/09/04,X1,20
104/09/04,X2,49
104/09/04,X3,46
104/09/04,X4,19
